,week,day,date,time,h,a,attendance,venue,referee,notes,game_id,h_ftgoals,a_ftgoals,season,season-key,match-key,home_xg,away_xg,round,fthg,ftag,iwh,iwd,iwa,whh,whd,wha,bwh,bwd,bwa,psch,pscd,psca,maxch,maxcd,maxca,maxh,maxd,maxa,avgh,avgd,avga
0,1.0,Sat,2000-09-30,nan,Napoli,Juventus,,nan,Pierluigi Collina,nan,5d3c3919,1.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_194,,,,1.0,2.0,3.0,2.8,2.1,3.75,2.8,2.0,,,,,,,,,,,,,,,
1,1.0,Sat,2000-09-30,nan,Bari,Hellas-Verona,,nan,Roberto Rosetti,nan,0395bc16,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_21,,,,1.0,1.0,1.9,2.7,3.4,1.83,3.0,4.0,,,,,,,,,,,,,,,
2,1.0,Sun,2000-10-01,nan,Reggina,Inter,,nan,Graziano Cesari,nan,fbc33b80,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_244,,,,2.0,1.0,3.5,3.0,1.8,4.0,2.87,1.9,,,,,,,,,,,,,,,
3,1.0,Sun,2000-10-01,nan,Perugia,Lecce,,nan,Alberto Castellani,nan,3003cdd8,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_230,,,,1.0,1.0,1.7,3.1,3.8,1.9,2.87,4.0,,,,,,,,,,,,,,,
4,1.0,Sun,2000-10-01,nan,Udinese,Brescia,,nan,Max Saccani,nan,85ac2d09,4.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_275,,,,4.0,2.0,1.5,3.4,4.7,1.53,3.4,5.5,,,,,,,,,,,,,,,
5,1.0,Sun,2000-10-01,nan,Atalanta,Lazio,,nan,Alfredo Trentalange,nan,a7c7b8ff,2.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_7,,,,2.0,2.0,3.6,3.1,1.75,4.0,3.1,1.8,,,,,,,,,,,,,,,
6,1.0,Sun,2000-10-01,nan,Milan,Vicenza,,nan,Stefano Braschi,nan,2dff0a30,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_186,,,,2.0,0.0,1.25,4.3,8.0,1.25,4.33,11.0,,,,,,,,,,,,,,,
7,1.0,Sun,2000-10-01,nan,Roma,Bologna,,nan,Stefano Farina,nan,f4db916a,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_257,,,,2.0,0.0,1.45,3.5,5.0,1.36,3.75,8.0,,,,,,,,,,,,,,,
8,1.0,Sun,2000-10-01,nan,Parma,Fiorentina,,nan,Domenico Messina,nan,2ae8f3cf,2.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_208,,,,2.0,2.0,1.65,3.1,4.0,1.72,3.1,4.5,,,,,,,,,,,,,,,
9,2.0,Sat,2000-10-14,nan,Inter,Napoli,,nan,Fiorenzo Treossi,nan,4df53253,3.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_112,,,,3.0,1.0,1.4,3.6,5.5,1.33,4.0,8.0,,,,,,,,,,,,,,,
10,2.0,Sat,2000-10-14,nan,Lazio,Perugia,,nan,Pierluigi Collina,nan,4f1b8c7c,3.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_148,,,,3.0,0.0,1.2,4.7,9.0,1.2,5.0,11.0,,,,,,,,,,,,,,,
11,2.0,Sun,2000-10-15,nan,Lecce,Roma,,nan,Cosimo Bolognino,nan,8cefa473,0.0,4.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_167,,,,0.0,4.0,3.0,2.9,2.0,3.3,2.87,2.1,,,,,,,,,,,,,,,
12,2.0,Sun,2000-10-15,nan,Brescia,Parma,,nan,Danilo Nucini,nan,0d1dae9e,0.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_62,,,,0.0,0.0,3.0,2.9,2.0,3.25,2.75,2.2,,,,,,,,,,,,,,,
13,2.0,Sun,2000-10-15,nan,Vicenza,Atalanta,,nan,Stefano Farina,nan,83edf2bd,1.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_289,,,,1.0,2.0,1.9,2.8,3.3,2.1,2.8,3.4,,,,,,,,,,,,,,,
14,2.0,Sun,2000-10-15,nan,Juventus,Bari,,nan,Graziano Cesari,nan,06e7a53f,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_120,,,,2.0,0.0,1.3,4.0,7.0,1.25,4.5,10.0,,,,,,,,,,,,,,,
15,2.0,Sun,2000-10-15,nan,Hellas-Verona,Udinese,,nan,Gennaro Borriello,nan,2845af36,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_100,,,,1.0,1.0,2.1,2.9,2.9,2.4,2.8,2.87,,,,,,,,,,,,,,,
16,2.0,Sun,2000-10-15,nan,Bologna,Milan,,nan,Daniele Tombolini,nan,0f596edb,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_43,,,,2.0,1.0,3.0,2.9,2.0,3.2,2.8,2.2,,,,,,,,,,,,,,,
17,2.0,Sun,2000-10-15,nan,Fiorentina,Reggina,,nan,Paolo Bertini,nan,8e980ffd,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_81,,,,2.0,1.0,1.4,3.6,5.5,1.36,3.75,8.0,,,,,,,,,,,,,,,
18,3.0,Sat,2000-10-21,nan,Milan,Juventus,,nan,Stefano Braschi,nan,d867d8db,2.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_177,,,,2.0,2.0,2.0,2.7,3.2,2.2,2.87,3.1,,,,,,,,,,,,,,,
19,3.0,Sat,2000-10-21,nan,Udinese,Inter,,nan,Salvatore Racalbuto,nan,c55f9077,3.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_278,,,,3.0,0.0,2.7,2.9,2.2,2.8,2.75,2.5,,,,,,,,,,,,,,,
20,3.0,Sun,2000-10-22,nan,Bari,Atalanta,,nan,Stefano Cassarà,nan,6757ed6f,0.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_17,,,,0.0,2.0,2.0,2.7,3.2,2.1,2.8,3.4,,,,,,,,,,,,,,,
21,3.0,Sun,2000-10-22,nan,Roma,Vicenza,,nan,Fiorenzo Treossi,nan,b47864b2,3.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_271,,,,3.0,1.0,1.2,4.7,9.0,1.2,5.0,11.0,,,,,,,,,,,,,,,
22,3.0,Sun,2000-10-22,nan,Napoli,Bologna,,nan,Roberto Rosetti,nan,9899587a,1.0,5.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_189,,,,1.0,5.0,1.9,2.9,3.2,2.25,3.0,2.87,,,,,,,,,,,,,,,
23,3.0,Sun,2000-10-22,nan,Hellas-Verona,Lazio,,nan,Alfredo Trentalange,nan,bafb5c04,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_92,,,,2.0,0.0,3.4,2.9,1.85,4.0,2.87,1.9,,,,,,,,,,,,,,,
24,3.0,Sun,2000-10-22,nan,Reggina,Lecce,,nan,Gianluca Paparesta,nan,2767d53f,0.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_247,,,,0.0,1.0,1.8,2.9,3.6,1.9,2.87,4.0,,,,,,,,,,,,,,,
25,3.0,Sun,2000-10-22,nan,Perugia,Parma,,nan,Angelo Bonfrisco,nan,3680b23f,3.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_233,,,,3.0,1.0,3.0,2.9,2.0,3.75,2.8,2.0,,,,,,,,,,,,,,,
26,3.0,Sun,2000-10-22,nan,Brescia,Fiorentina,,nan,Pasquale Rodomonti,nan,bd0091a2,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_54,,,,1.0,1.0,2.4,2.9,2.4,2.75,2.9,2.4,,,,,,,,,,,,,,,
27,4.0,Wed,2000-11-01,nan,Vicenza,Perugia,,nan,Pierluigi Collina,nan,d2860788,1.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_302,,,,1.0,0.0,1.9,2.8,3.3,1.75,3.1,4.3,,,,,,,,,,,,,,,
28,4.0,Wed,2000-11-01,nan,Fiorentina,Bari,,nan,Pierpaolo Rossi,nan,7aef531e,2.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_69,,,,2.0,2.0,1.45,3.5,5.0,1.44,3.5,7.0,,,,,,,,,,,,,,,
29,4.0,Wed,2000-11-01,nan,Lazio,Brescia,,nan,Stefano Farina,nan,f5125ffe,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_139,,,,2.0,1.0,1.2,4.7,9.0,1.22,5.0,9.5,,,,,,,,,,,,,,,
30,4.0,Wed,2000-11-01,nan,Lecce,Napoli,,nan,Danilo Nucini,nan,bba987e1,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_163,,,,1.0,1.0,1.8,2.9,3.6,1.7,3.0,5.0,,,,,,,,,,,,,,,
31,4.0,Wed,2000-11-01,nan,Inter,Roma,,nan,Domenico Messina,nan,5f954b6b,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_116,,,,2.0,0.0,2.2,2.8,2.8,2.6,2.9,2.5,,,,,,,,,,,,,,,
32,4.0,Wed,2000-11-01,nan,Atalanta,Hellas-Verona,,nan,Pasquale Rodomonti,nan,91e4400e,3.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_4,,,,3.0,0.0,1.9,2.8,3.3,1.83,2.87,4.33,,,,,,,,,,,,,,,
33,4.0,Wed,2000-11-01,nan,Parma,Milan,,nan,Graziano Cesari,nan,ca512fba,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_214,,,,2.0,0.0,2.3,2.8,2.6,2.5,2.8,2.75,,,,,,,,,,,,,,,
34,4.0,Wed,2000-11-01,nan,Bologna,Reggina,,nan,Alfredo Trentalange,nan,296749df,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_47,,,,2.0,0.0,1.5,3.4,4.7,1.44,3.5,7.0,,,,,,,,,,,,,,,
35,4.0,Wed,2000-11-01,nan,Juventus,Udinese,,nan,Cosimo Bolognino,nan,729a8ea0,1.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_134,,,,1.0,2.0,1.45,3.5,5.0,1.44,3.3,7.5,,,,,,,,,,,,,,,
36,5.0,Sat,2000-11-04,nan,Lazio,Bologna,,nan,Emilio Pellegrino,nan,1b7df006,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_138,,,,2.0,0.0,1.4,3.0,5.5,1.36,3.75,8.0,,,,,,,,,,,,,,,
37,5.0,Sat,2000-11-04,nan,Fiorentina,Perugia,,nan,Paolo Bertini,nan,3eaca4aa,3.0,4.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_80,,,,3.0,4.0,1.45,3.5,5.0,1.4,3.6,7.5,,,,,,,,,,,,,,,
38,5.0,Sun,2000-11-05,nan,Hellas-Verona,Inter,,nan,Pasquale Rodomonti,nan,7a7b0b3c,2.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_90,,,,2.0,2.0,2.4,2.9,2.4,3.1,2.87,2.2,,,,,,,,,,,,,,,
39,5.0,Sun,2000-11-05,nan,Reggina,Juventus,,nan,Domenico Messina,nan,1ce76fc6,0.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_245,,,,0.0,2.0,3.2,2.9,1.9,3.4,2.8,2.1,,,,,,,,,,,,,,,
40,5.0,Sun,2000-11-05,nan,Milan,Atalanta,,nan,Roberto Rosetti,nan,8aa9fbc0,3.0,3.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_170,,,,3.0,3.0,1.35,3.8,6.2,1.36,4.0,7.0,,,,,,,,,,,,,,,
41,5.0,Sun,2000-11-05,nan,Napoli,Vicenza,,nan,Max Saccani,nan,0b560109,1.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_203,,,,1.0,2.0,1.8,2.9,3.6,1.83,3.0,4.0,,,,,,,,,,,,,,,
42,5.0,Sun,2000-11-05,nan,Udinese,Lecce,,nan,Fiorenzo Treossi,nan,a7cce1fc,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_281,,,,2.0,0.0,1.45,3.5,5.0,1.44,3.6,6.5,,,,,,,,,,,,,,,
43,5.0,Sun,2000-11-05,nan,Bari,Parma,,nan,Angelo Bonfrisco,nan,61ed2d97,0.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_28,,,,0.0,1.0,2.8,2.8,2.2,2.75,2.9,2.4,,,,,,,,,,,,,,,
44,5.0,Sun,2000-11-05,nan,Brescia,Roma,,nan,Salvatore Racalbuto,nan,7aab09e2,2.0,4.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_65,,,,2.0,4.0,3.2,2.9,1.9,3.75,2.8,2.0,,,,,,,,,,,,,,,
45,6.0,Sat,2000-11-11,nan,Juventus,Lazio,,nan,Stefano Braschi,nan,35fc0d00,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_126,,,,1.0,1.0,2.1,2.8,3.0,2.2,2.8,3.2,,,,,,,,,,,,,,,
46,6.0,Sat,2000-11-11,nan,Atalanta,Brescia,,nan,Graziano Cesari,nan,d44f5965,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_2,,,,2.0,0.0,1.5,3.4,4.7,1.67,2.9,5.5,,,,,,,,,,,,,,,
47,6.0,Sun,2000-11-12,nan,Bari,Milan,,nan,Alfredo Trentalange,nan,0b6913a5,1.0,3.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_26,,,,1.0,3.0,3.0,2.9,2.0,3.1,2.8,2.25,,,,,,,,,,,,,,,
48,6.0,Sun,2000-11-12,nan,Inter,Lecce,,nan,Massimo De Santis,nan,9b8267b8,0.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_110,,,,0.0,1.0,1.3,4.0,7.0,1.25,4.5,10.0,,,,,,,,,,,,,,,
49,6.0,Sun,2000-11-12,nan,Parma,Udinese,,nan,Gennaro Borriello,nan,cd764e45,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_219,,,,2.0,0.0,1.7,3.1,3.8,1.8,3.1,4.0,,,,,,,,,,,,,,,
50,6.0,Sun,2000-11-12,nan,Perugia,Napoli,,nan,Domenico Messina,nan,d194e345,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_232,,,,1.0,1.0,1.7,3.1,3.8,1.72,3.1,4.5,,,,,,,,,,,,,,,
51,6.0,Sun,2000-11-12,nan,Roma,Reggina,,nan,Pierluigi Collina,nan,9f7a1521,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_269,,,,2.0,1.0,1.2,4.7,9.0,1.2,5.0,11.0,,,,,,,,,,,,,,,
52,6.0,Sun,2000-11-12,nan,Vicenza,Hellas-Verona,,nan,Cosimo Bolognino,nan,4c654b1f,2.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_294,,,,2.0,2.0,1.9,2.8,3.3,2.0,3.0,3.4,,,,,,,,,,,,,,,
53,6.0,Sun,2000-11-12,nan,Bologna,Fiorentina,,nan,Gianluca Paparesta,nan,1e0477ef,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_37,,,,1.0,1.0,1.9,2.8,3.3,1.95,3.0,3.6,,,,,,,,,,,,,,,
54,7.0,Sat,2000-11-18,nan,Lazio,Milan,,nan,Gennaro Borriello,nan,d587909a,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_145,,,,1.0,1.0,1.9,2.7,3.4,1.9,3.0,3.75,,,,,,,,,,,,,,,
55,7.0,Sat,2000-11-18,nan,Inter,Perugia,,nan,Roberto Rosetti,nan,bc96a81c,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_114,,,,2.0,1.0,1.35,3.8,6.2,1.35,3.75,8.5,,,,,,,,,,,,,,,
56,7.0,Sun,2000-11-19,nan,Bologna,Parma,,nan,Pasquale Rodomonti,nan,4b72e2db,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_45,,,,2.0,1.0,2.3,2.7,2.7,2.62,2.75,2.62,,,,,,,,,,,,,,,
57,7.0,Sun,2000-11-19,nan,Brescia,Juventus,,nan,Stefano Farina,nan,0c144911,0.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_57,,,,0.0,0.0,3.4,2.9,1.85,3.6,2.87,2.0,,,,,,,,,,,,,,,
58,7.0,Sun,2000-11-19,nan,Udinese,Reggina,,nan,Paolo Bertini,nan,81b0a7cb,3.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_286,,,,3.0,0.0,1.35,3.8,6.2,1.33,3.75,9.0,,,,,,,,,,,,,,,
59,7.0,Sun,2000-11-19,nan,Napoli,Atalanta,,nan,Emilio Pellegrino,nan,39ad071a,0.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_187,,,,0.0,0.0,2.4,2.8,2.5,2.5,2.9,2.62,,,,,,,,,,,,,,,
60,7.0,Sun,2000-11-19,nan,Lecce,Bari,,nan,Salvatore Racalbuto,nan,1e1e973b,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_154,,,,2.0,0.0,1.9,2.8,3.3,2.0,2.87,3.6,,,,,,,,,,,,,,,
61,7.0,Sun,2000-11-19,nan,Fiorentina,Vicenza,,nan,Nicola Ayroldi,nan,d41856ed,3.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_84,,,,3.0,2.0,1.55,3.3,4.5,1.53,3.25,6.0,,,,,,,,,,,,,,,
62,7.0,Sun,2000-11-19,nan,Hellas-Verona,Roma,,nan,Fiorenzo Treossi,nan,19e38ff0,1.0,4.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_99,,,,1.0,4.0,2.9,2.9,2.1,3.4,2.8,2.1,,,,,,,,,,,,,,,
63,8.0,Sat,2000-11-25,nan,Milan,Napoli,,nan,Massimo De Santis,nan,abd9e45d,1.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_180,,,,1.0,0.0,1.25,4.3,8.0,1.33,4.0,8.0,,,,,,,,,,,,,,,
64,8.0,Sat,2000-11-25,nan,Atalanta,Lecce,,nan,Gianluca Paparesta,nan,48c2e760,1.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_8,,,,1.0,0.0,1.65,3.1,4.0,1.73,3.1,4.5,,,,,,,,,,,,,,,
65,8.0,Sun,2000-11-26,nan,Parma,Lazio,,nan,Roberto Rosetti,nan,53bcebc6,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_212,,,,2.0,0.0,2.3,2.7,2.7,2.5,2.75,2.75,,,,,,,,,,,,,,,
66,8.0,Sun,2000-11-26,nan,Juventus,Hellas-Verona,,nan,Danilo Nucini,nan,e25e025b,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_124,,,,2.0,1.0,1.3,4.0,7.0,1.33,4.0,8.0,,,,,,,,,,,,,,,
67,8.0,Sun,2000-11-26,nan,Perugia,Bologna,,nan,Cosimo Bolognino,nan,1921ad2a,1.0,3.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_223,,,,1.0,3.0,2.3,2.7,2.7,2.37,2.8,2.87,,,,,,,,,,,,,,,
68,8.0,Sun,2000-11-26,nan,Bari,Udinese,,nan,Daniele Tombolini,nan,bc8b11f8,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_32,,,,2.0,1.0,2.7,2.7,2.3,2.62,2.87,2.5,,,,,,,,,,,,,,,
69,8.0,Sun,2000-11-26,nan,Reggina,Brescia,,nan,Pierluigi Collina,nan,7f265ef3,0.0,3.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_241,,,,0.0,3.0,1.8,2.9,3.6,2.1,2.8,3.4,,,,,,,,,,,,,,,
70,8.0,Sun,2000-11-26,nan,Vicenza,Inter,,nan,Domenico Messina,nan,9ebe4c9f,0.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_295,,,,0.0,0.0,2.4,2.9,2.4,3.0,2.87,2.25,,,,,,,,,,,,,,,
71,8.0,Sun,2000-11-26,nan,Roma,Fiorentina,,nan,Graziano Cesari,nan,7e1f449d,1.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_259,,,,1.0,0.0,1.55,3.2,4.8,1.5,3.25,6.5,,,,,,,,,,,,,,,
72,9.0,Sat,2000-12-02,nan,Parma,Atalanta,,nan,Nicola Ayroldi,nan,302e395a,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_204,,,,2.0,0.0,1.6,3.2,4.2,1.66,3.1,5.0,,,,,,,,,,,,,,,
73,9.0,Sat,2000-12-02,nan,Lazio,Reggina,,nan,Alberto Castellani,nan,9c1646e0,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_149,,,,2.0,0.0,1.2,4.7,9.0,1.2,5.0,11.0,,,,,,,,,,,,,,,
74,9.0,Sun,2000-12-03,nan,Lecce,Fiorentina,,nan,Salvatore Racalbuto,nan,19876cf9,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_157,,,,1.0,1.0,2.4,2.7,2.6,2.5,2.75,2.75,,,,,,,,,,,,,,,
75,9.0,Sun,2000-12-03,nan,Hellas-Verona,Brescia,,nan,Max Saccani,nan,25ab1bc3,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_88,,,,2.0,1.0,1.7,3.1,3.8,1.9,2.75,4.2,,,,,,,,,,,,,,,
76,9.0,Sun,2000-12-03,nan,Perugia,Roma,,nan,Gennaro Borriello,nan,8316c5ed,0.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_235,,,,0.0,0.0,3.5,3.0,1.8,4.5,2.9,1.8,,,,,,,,,,,,,,,
77,9.0,Sun,2000-12-03,nan,Udinese,Milan,,nan,Alfredo Trentalange,nan,1936866d,0.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_282,,,,0.0,1.0,2.4,2.7,2.6,2.62,2.75,2.62,,,,,,,,,,,,,,,
78,9.0,Sun,2000-12-03,nan,Napoli,Bari,,nan,Pasquale Rodomonti,nan,d212a96b,1.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_188,,,,1.0,0.0,1.9,2.8,3.3,1.83,2.87,4.33,,,,,,,,,,,,,,,
79,9.0,Sun,2000-12-03,nan,Bologna,Vicenza,,nan,Graziano Cesari,nan,f1c651c0,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_50,,,,1.0,1.0,1.5,3.4,4.7,1.44,3.6,6.5,,,,,,,,,,,,,,,
80,9.0,Sun,2000-12-03,nan,Inter,Juventus,,nan,Stefano Braschi,nan,b3f569e2,2.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_108,,,,2.0,2.0,2.2,2.8,2.8,2.4,2.8,2.87,,,,,,,,,,,,,,,
81,10.0,Sat,2000-12-09,nan,Brescia,Napoli,,nan,Cosimo Bolognino,nan,5df5fd93,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_61,,,,1.0,1.0,1.9,2.8,3.3,2.0,2.87,3.6,,,,,,,,,,,,,,,
82,10.0,Sat,2000-12-09,nan,Reggina,Hellas-Verona,,nan,Massimo De Santis,nan,f349cf7a,1.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_243,,,,1.0,1.0,2.4,2.9,2.4,2.5,2.75,2.75,,,,,,,,,,,,,,,
83,10.0,Sun,2000-12-10,nan,Fiorentina,Inter,,nan,Alfredo Trentalange,nan,d35eab4f,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_73,,,,2.0,0.0,2.2,2.7,2.9,2.3,2.8,3.0,,,,,,,,,,,,,,,
84,10.0,Sun,2000-12-10,nan,Bari,Bologna,,nan,Diego Preschern,nan,d9e0816e,2.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_18,,,,2.0,0.0,2.4,2.7,2.6,2.37,2.8,2.87,,,,,,,,,,,,,,,
85,10.0,Sun,2000-12-10,nan,Vicenza,Lazio,,nan,Daniele Tombolini,nan,ec5924a1,1.0,4.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_297,,,,1.0,4.0,3.1,2.8,2.0,3.4,2.8,2.1,,,,,,,,,,,,,,,
86,10.0,Sun,2000-12-10,nan,Juventus,Parma,,nan,Pierluigi Collina,nan,92d1319d,1.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_130,,,,1.0,0.0,1.85,2.8,3.6,1.83,2.87,4.33,,,,,,,,,,,,,,,
87,10.0,Sun,2000-12-10,nan,Roma,Udinese,,nan,Danilo Nucini,nan,23551f0f,2.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_270,,,,2.0,1.0,1.5,3.2,5.0,1.44,3.5,7.0,,,,,,,,,,,,,,,
88,10.0,Sun,2000-12-10,nan,Milan,Lecce,,nan,Emilio Pellegrino,nan,d9cbc39e,4.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_179,,,,4.0,1.0,1.35,3.8,6.2,1.33,4.0,8.0,,,,,,,,,,,,,,,
89,10.0,Sun,2000-12-10,nan,Atalanta,Perugia,,nan,Stefano Cassarà,nan,ec5e64b5,0.0,0.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_12,,,,0.0,0.0,1.6,3.2,4.2,1.57,3.25,5.5,,,,,,,,,,,,,,,
90,11.0,Sat,2000-12-16,nan,Napoli,Reggina,,nan,Stefano Braschi,nan,96fd82e8,6.0,2.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_200,,,,6.0,2.0,1.7,2.9,4.0,1.66,3.1,5.0,,,,,,,,,,,,,,,
91,11.0,Sat,2000-12-16,nan,Perugia,Bari,,nan,Pasquale Rodomonti,nan,cc165243,4.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_222,,,,4.0,1.0,1.85,2.8,3.6,2.0,2.87,3.6,,,,,,,,,,,,,,,
92,11.0,Sun,2000-12-17,nan,Lazio,Roma,,nan,Graziano Cesari,nan,9449b872,0.0,1.0,2000-2001,italy_serie-a_2000-2001,italy_serie-a_2000-2001_150,,,,0.0,1.0,2.45,2.8,2.45,2.6,2.8,2.6,,,,,,,,,,,,,,,
