,week,day,date,time,h,a,attendance,venue,referee,notes,game_id,h_ftgoals,a_ftgoals,season,season-key,match-key,home_xg,away_xg,round,fthg,ftag,iwh,iwd,iwa,whh,whd,wha,bwh,bwd,bwa,psch,pscd,psca,maxch,maxcd,maxca,maxh,maxd,maxa,avgh,avgd,avga
6580,4.0,Sun,2018-09-16,12:30,Roma,Chievo,39849.0,Stadio Olimpico,Paolo Mazzoleni,nan,b877c74e,2.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_269,2.4,1.6,,2.0,2.0,1.25,6.1,11.0,1.22,6.0,12.0,1.22,6.75,12.0,1.22,7.11,14.13,,,,,,,,,
6581,4.0,Mon,2018-09-17,20:30,SPAL,Atalanta,14153.0,Stadio Paolo Mazza,Maurizio Mariani,nan,dc04de87,2.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_285,1.7,0.8,,2.0,0.0,4.1,3.5,1.9,4.0,3.5,1.91,4.0,3.5,1.95,4.94,3.84,1.76,,,,,,,,,
6582,1.0,Wed,2018-09-19,19:00,Sampdoria,Fiorentina,18334.0,Stadio Comunale Luigi Ferraris,Fabio Maresca,nan,55a722ce,1.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_309,0.5,1.4,,1.0,1.0,2.8,3.4,2.5,2.75,3.3,2.55,2.7,3.3,2.5,2.93,3.36,2.59,,,,,,,,,
6583,5.0,Fri,2018-09-21,20:30,Sassuolo,Empoli,10183.0,Stadio Città del Tricolore,Federico La Penna,nan,fa7d3c6d,3.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_327,2.2,1.1,,3.0,1.0,2.1,3.35,3.55,2.15,3.4,3.3,2.05,3.4,3.7,2.18,3.27,3.83,,,,,,,,,
6584,5.0,Sat,2018-09-22,15:00,Parma,Cagliari,14852.0,Stadio Ennio Tardini,Giampaolo Calvarese,nan,976466b0,2.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_249,2.3,0.9,,2.0,0.0,2.35,3.2,3.15,2.38,3.2,3.1,2.4,3.1,3.2,2.48,3.36,3.04,,,,,,,,,
6585,5.0,Sat,2018-09-22,20:30,Sampdoria,Inter,22835.0,Stadio Comunale Luigi Ferraris,Marco Guida,nan,311dafe4,0.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_312,0.4,0.9,,0.0,1.0,4.2,3.8,1.83,4.0,3.7,1.83,4.2,3.7,1.85,4.55,3.64,1.87,,,,,,,,,
6586,5.0,Sat,2018-09-22,18:00,Fiorentina,SPAL,30068.0,Stadio Artemio Franchi,Davide Ghersini,nan,85a325de,3.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_109,1.5,0.6,,3.0,0.0,1.63,3.85,5.7,1.63,3.8,5.5,1.57,3.9,6.25,1.68,3.78,5.8,,,,,,,,,
6587,5.0,Sun,2018-09-23,20:30,Frosinone,Juventus,16000.0,Stadio Benito Stirpe,Piero Giacomelli,nan,37d02d43,0.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_122,0.1,3.0,,0.0,2.0,16.0,6.9,1.18,15.0,7.0,1.18,15.5,7.25,1.18,18.51,7.16,1.19,,,,,,,,,
6588,5.0,Sun,2018-09-23,12:30,Torino,Napoli,22655.0,Stadio Olimpico di Torino,Massimiliano Irrati,nan,5c05a806,1.0,3.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_354,1.2,2.0,,1.0,3.0,4.4,3.75,1.77,4.33,3.7,1.8,4.4,3.8,1.78,4.46,3.5,1.93,,,,,,,,,
6589,5.0,Sun,2018-09-23,15:00,Bologna,Roma,20067.0,Stadio Renato Dall'Ara,Davide Massa,nan,6d33bbb0,2.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_32,0.9,2.9,,2.0,0.0,5.0,3.85,1.7,4.8,3.7,1.73,5.5,3.75,1.67,5.84,3.98,1.65,,,,,,,,,
6590,5.0,Sun,2018-09-23,18:00,Milan,Atalanta,51684.0,Stadio Giuseppe Meazza,Daniele Doveri,nan,f06bb875,2.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_209,2.6,1.8,,2.0,2.0,2.0,3.45,3.75,2.05,3.4,3.6,2.05,3.4,3.7,2.19,3.27,3.79,,,,,,,,,
6591,5.0,Sun,2018-09-23,15:00,Chievo,Udinese,10000.0,Stadio Marc'Antonio Bentegodi,Luca Pairetto,nan,bbc47e50,0.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_75,1.5,1.1,,0.0,2.0,3.0,3.15,2.5,2.8,3.2,2.55,3.0,3.2,2.45,2.9,3.09,2.81,,,,,,,,,
6592,5.0,Sun,2018-09-23,15:00,Lazio,Genoa,30000.0,Stadio Olimpico,Rosario Abisso,nan,6c773dd6,4.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_197,2.9,0.7,,4.0,1.0,1.45,4.7,6.7,1.44,4.75,6.5,1.44,4.6,7.25,1.48,4.44,7.67,,,,,,,,,
6593,6.0,Tue,2018-09-25,21:00,Inter,Fiorentina,55840.0,Stadio Giuseppe Meazza,Paolo Mazzoleni,nan,cc3de56b,2.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_157,1.7,1.8,,2.0,1.0,1.75,3.6,4.9,1.67,3.9,5.0,1.67,3.7,5.5,1.63,3.89,6.34,,,,,,,,,
6594,6.0,Wed,2018-09-26,19:00,Udinese,Lazio,19455.0,Dacia Arena,Fabio Maresca,nan,55e64680,1.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_371,0.9,1.6,,1.0,2.0,3.7,3.5,2.0,4.0,3.7,1.88,4.1,3.6,1.9,4.11,3.3,2.08,,,,,,,,,
6595,6.0,Wed,2018-09-26,21:00,Atalanta,Torino,18144.0,Stadio Atleti Azzurri d'Italia,Daniele Orsato,nan,e4017e17,0.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_17,0.8,0.3,,0.0,0.0,1.83,3.7,4.25,1.88,3.7,4.0,1.85,3.6,4.25,1.68,4.16,5.17,,,,,,,,,
6596,6.0,Wed,2018-09-26,21:00,Napoli,Parma,29354.0,Stadio San Paolo,Daniele Doveri,nan,3e70776d,3.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_240,2.6,0.1,,3.0,0.0,1.2,7.0,13.0,1.22,6.5,13.0,1.19,6.75,15.5,1.22,6.51,16.35,,,,,,,,,
6597,6.0,Wed,2018-09-26,21:00,Juventus,Bologna,38472.0,Allianz Stadium,Maurizio Mariani,nan,c541e5e5,2.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_172,1.1,0.3,,2.0,0.0,1.17,7.5,15.0,1.15,8.0,17.0,1.16,7.5,18.5,1.13,9.25,25.76,,,,,,,,,
6598,6.0,Wed,2018-09-26,21:00,Cagliari,Sampdoria,14038.0,Sardegna Arena,Gianluca Rocchi,nan,5735413c,0.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_53,1.0,2.1,,0.0,0.0,2.55,3.35,2.75,2.55,3.3,2.8,2.6,3.3,2.75,2.31,3.35,3.4,,,,,,,,,
6599,6.0,Wed,2018-09-26,21:00,Roma,Frosinone,34380.0,Stadio Olimpico,Marco Di Bello,nan,8ab82da5,4.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_272,2.4,0.6,,4.0,0.0,1.2,7.0,13.0,1.22,7.0,12.0,1.19,7.25,13.5,1.2,7.13,16.11,,,,,,,,,
6600,6.0,Wed,2018-09-26,21:00,Genoa,Chievo,18969.0,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,nan,539bea82,2.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_136,1.3,1.2,,2.0,0.0,1.77,3.5,4.95,1.85,3.4,4.6,1.8,3.4,5.0,1.76,3.69,5.31,,,,,,,,,
6601,6.0,Thu,2018-09-27,19:00,SPAL,Sassuolo,13945.0,Stadio Paolo Mazza,Eugenio Abbattista,nan,0b869122,0.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_301,1.1,1.9,,0.0,2.0,2.6,3.2,2.8,2.6,3.2,2.8,2.65,3.1,2.85,2.46,3.25,3.22,,,,,,,,,
6602,6.0,Thu,2018-09-27,21:00,Empoli,Milan,13890.0,Stadio Carlo Castellani,Michael Fabbri,nan,dfc7da77,1.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_86,1.2,1.4,,1.0,1.0,4.8,3.9,1.7,4.6,3.9,1.73,5.0,3.8,1.7,4.88,3.6,1.83,,,,,,,,,
6603,7.0,Sat,2018-09-29,18:00,Juventus,Napoli,39252.0,Allianz Stadium,Luca Banti,nan,d2cccf44,3.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_182,2.8,1.5,,3.0,1.0,1.75,3.7,4.8,1.8,3.6,4.5,1.8,3.5,4.75,1.86,3.43,5.03,,,,,,,,,
6604,7.0,Sat,2018-09-29,20:30,Inter,Cagliari,55486.0,Stadio Giuseppe Meazza,Davide Massa,nan,f4a15ae9,2.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_154,1.0,0.2,,2.0,0.0,1.35,5.3,8.0,1.33,5.25,9.0,1.33,5.0,10.0,1.4,4.86,9.07,,,,,,,,,
6605,7.0,Sat,2018-09-29,15:00,Roma,Lazio,47600.0,Stadio Olimpico,Gianluca Rocchi,nan,f37a8fa3,3.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_276,2.0,0.9,,3.0,1.0,2.3,3.6,2.95,2.4,3.4,3.0,2.4,3.5,2.85,2.68,3.58,2.68,,,,,,,,,
6606,7.0,Sun,2018-09-30,15:00,Fiorentina,Atalanta,30535.0,Stadio Artemio Franchi,Paolo Valeri,nan,46205931,2.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_95,1.1,0.8,,2.0,0.0,2.3,3.3,3.15,2.3,3.4,3.1,2.25,3.4,3.2,2.39,3.44,3.17,,,,,,,,,
6607,7.0,Sun,2018-09-30,20:30,Sassuolo,Milan,16795.0,Stadio Città del Tricolore,Piero Giacomelli,nan,b493840d,1.0,4.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_334,0.7,1.2,,1.0,4.0,3.4,3.3,2.2,3.2,3.4,2.25,3.3,3.5,2.15,3.54,3.61,2.15,,,,,,,,,
6608,7.0,Sun,2018-09-30,12:30,Bologna,Udinese,19039.0,Stadio Renato Dall'Ara,Gianluca Manganiello,nan,83129638,2.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_37,1.6,1.0,,2.0,1.0,2.5,3.1,3.0,2.6,3.0,3.0,2.65,2.95,3.0,2.73,3.11,2.97,,,,,,,,,
6609,7.0,Sun,2018-09-30,15:00,Chievo,Torino,10500.0,Stadio Marc'Antonio Bentegodi,Marco Guida,nan,15a2a3da,0.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_74,0.3,1.6,,0.0,1.0,3.8,3.2,2.1,3.7,3.25,2.1,3.6,3.5,2.05,4.05,3.33,2.09,,,,,,,,,
6610,7.0,Sun,2018-09-30,15:00,Frosinone,Genoa,12384.0,Stadio Benito Stirpe,Juan Sacchi,nan,8c1894ab,1.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_120,1.6,1.0,,1.0,2.0,3.6,3.2,2.15,3.3,3.25,2.3,3.4,3.2,2.25,3.59,3.37,2.22,,,,,,,,,
6611,7.0,Sun,2018-09-30,18:00,Parma,Empoli,14584.0,Stadio Ennio Tardini,Luca Pairetto,nan,b087d0a1,1.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_251,0.6,1.3,,1.0,0.0,2.3,3.2,3.3,2.3,3.3,3.2,2.2,3.3,3.4,2.5,3.45,2.99,,,,,,,,,
6612,7.0,Mon,2018-10-01,20:30,Sampdoria,SPAL,17885.0,Stadio Comunale Luigi Ferraris,Federico La Penna,nan,60b0ad33,2.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_319,1.2,1.3,,2.0,1.0,1.8,3.6,4.5,1.83,3.5,4.5,1.85,3.75,4.1,1.79,3.65,5.11,,,,,,,,,
6613,8.0,Fri,2018-10-05,20:30,Torino,Frosinone,16554.0,Stadio Olimpico di Torino,Ivan Pezzuto,nan,4c04b010,3.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_348,1.8,2.0,,3.0,2.0,1.4,4.8,7.6,1.4,4.5,8.5,1.4,4.4,9.0,1.46,4.31,8.67,,,,,,,,,
6614,8.0,Sat,2018-10-06,20:30,Empoli,Roma,10670.0,Stadio Carlo Castellani,Paolo Mazzoleni,nan,aa9de6dc,0.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_89,2.1,0.8,,0.0,2.0,5.0,4.0,1.65,5.0,4.0,1.67,5.25,4.0,1.65,4.6,4.14,1.76,,,,,,,,,
6615,8.0,Sat,2018-10-06,15:00,Cagliari,Bologna,15019.0,Sardegna Arena,Fabrizio Pasqua,nan,e336189b,2.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_39,1.7,0.4,,2.0,0.0,2.05,3.2,3.9,2.05,3.2,3.9,2.05,3.3,3.9,2.1,3.24,4.14,,,,,,,,,
6616,8.0,Sat,2018-10-06,18:00,Udinese,Juventus,25000.0,Dacia Arena,Rosario Abisso,nan,ab2feeab,0.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_370,0.7,2.3,,0.0,2.0,7.6,4.8,1.4,8.5,4.75,1.38,9.0,5.0,1.36,12.24,5.37,1.31,,,,,,,,,
6617,8.0,Sun,2018-10-07,15:00,Lazio,Fiorentina,30000.0,Stadio Olimpico,Daniele Orsato,nan,86b366f7,1.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_195,1.5,1.1,,1.0,0.0,1.8,3.6,4.5,1.8,3.7,4.33,1.87,3.6,4.2,1.79,3.83,4.83,,,,,,,,,
6618,8.0,Sun,2018-10-07,15:00,Atalanta,Sampdoria,19164.0,Stadio Atleti Azzurri d'Italia,Massimiliano Irrati,nan,5dc48772,0.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_15,2.0,0.5,,0.0,1.0,1.75,3.8,4.6,1.65,4.0,5.25,1.57,4.1,5.75,1.57,4.28,6.25,,,,,,,,,
6619,8.0,Sun,2018-10-07,15:00,Milan,Chievo,48088.0,Stadio Giuseppe Meazza,Giampaolo Calvarese,nan,5335e1d2,3.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_212,2.7,0.5,,3.0,1.0,1.33,5.5,8.4,1.29,5.5,11.0,1.3,5.5,10.5,1.23,6.41,15.22,,,,,,,,,
6620,8.0,Sun,2018-10-07,20:30,SPAL,Inter,15750.0,Stadio Paolo Mazza,Fabio Maresca,nan,0accdf58,1.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_293,3.0,1.4,,1.0,2.0,5.3,3.9,1.65,5.8,3.6,1.67,5.5,3.7,1.67,7.21,3.98,1.56,,,,,,,,,
6621,8.0,Sun,2018-10-07,12:30,Genoa,Parma,20511.0,Stadio Comunale Luigi Ferraris,Daniele Chiffi,nan,a223dbf3,1.0,3.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_145,1.8,1.2,,1.0,3.0,1.85,3.5,4.4,1.83,3.7,4.33,1.8,3.6,4.6,1.75,3.66,5.4,,,,,,,,,
6622,8.0,Sun,2018-10-07,18:00,Napoli,Sassuolo,29647.0,Stadio San Paolo,Marco Di Bello,nan,c1bd224f,2.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_244,1.5,1.0,,2.0,0.0,1.37,5.0,8.0,1.36,5.25,8.0,1.35,5.25,8.5,1.39,4.99,8.76,,,,,,,,,
6623,9.0,Sat,2018-10-20,18:00,Juventus,Genoa,37735.0,Allianz Stadium,Federico La Penna,nan,46e81730,1.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_178,1.8,1.0,,1.0,1.0,1.21,6.6,13.5,1.18,6.5,17.0,1.22,6.25,14.0,1.16,8.09,22.21,,,,,,,,,
6624,9.0,Sat,2018-10-20,15:00,Roma,SPAL,39838.0,Stadio Olimpico,Luca Pairetto,nan,e4bccaf6,0.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_280,1.6,1.6,,0.0,2.0,1.33,5.4,8.7,1.32,5.5,9.0,1.35,5.25,8.5,1.3,6.04,10.29,,,,,,,,,
